日期,时间,纬度,经度,深度,震级类型,震级值,事件类型,参考地名
2013-04-23,22:07:15.6,30.31,102.97,16,Ms,3.8,eq,四川省雅安市芦山县
2013-04-23,15:14:39.2,30.22,102.95,16,Ms,3.2,eq,四川省雅安市芦山县
2013-04-23,05:54:49.3,30.40,103.00,19,Ms,4.5,eq,四川省雅安市芦山县
2013-04-23,01:38:03.2,30.25,102.94,18,Ms,3.1,eq,四川省雅安市芦山县
2013-04-23,01:27:13.1,30.26,102.83,15,Ms,3.8,eq,四川省雅安市宝兴县、芦山县交界
2013-04-22,23:11:17.7,30.21,102.92,16,Ms,3.0,eq,四川省雅安市芦山县、宝兴县交界
2013-04-22,21:39:31.7,30.22,102.93,14,Ms,3.1,eq,四川省雅安市芦山县、宝兴县交界
2013-04-22,19:04:52.5,30.21,102.96,21,Ms,3.1,eq,四川省雅安市芦山县、雨城区交界
2013-04-22,18:56:50.4,30.31,103.04,12,Ms,3.4,eq,四川省雅安市芦山县、成都市邛崃市交界
2013-04-22,17:14:04.5,30.30,103.01,12,Ms,3.7,eq,四川省雅安市芦山县、成都市邛崃市交界
2013-04-22,13:42:52.4,30.15,102.81,16,Ms,3.1,eq,四川省雅安市天全县、宝兴县交界
2013-04-22,09:18:08.5,30.25,102.97,19,Ms,3.6,eq,四川省雅安市芦山县
2013-04-22,07:45:00.9,30.29,102.87,14,Ms,3.2,eq,四川省雅安市宝兴县、芦山县交界
2013-04-22,07:17:04.4,30.25,102.95,17,Ms,3.4,eq,四川省雅安市芦山县
2013-04-22,06:21:10.2,30.27,102.90,20,Ms,3.1,eq,四川省雅安市芦山县、宝兴县交界
2013-04-22,04:53:20.2,30.33,102.93,20,Ms,3.1,eq,四川省雅安市芦山县、宝兴县交界
2013-04-22,04:36:11.9,30.27,102.98,17,Ms,3.1,eq,四川省雅安市芦山县
2013-04-22,03:36:37.7,30.20,102.93,17,Ms,3.8,eq,四川省雅安市芦山县、宝兴县交界
2013-04-22,01:52:08.8,31.19,103.48,14,Ms,3.1,eq,四川省阿坝藏族羌族自治州汶川县
2013-04-21,23:50:19.5,30.26,102.96,18,ML,2.5,eq,四川芦山
2013-04-21,23:34:40.4,30.25,102.85,26,ML,2.3,eq,四川宝兴
2013-04-21,23:25:23.4,30.25,102.84,26,ML,4.0,eq,四川宝兴
2013-04-21,22:59:14.5,30.36,102.95,19,ML,2.3,eq,四川芦山
2013-04-21,22:47:00.8,30.25,102.98,18,ML,2.6,eq,四川芦山
2013-04-21,22:16:55.7,30.30,102.90,20,Ms,4.3,eq,四川芦山
2013-04-21,22:13:17.8,30.30,102.97,18,ML,2.9,eq,四川芦山
2013-04-21,21:27:25.2,30.32,102.88,16,ML,2.6,eq,四川宝兴
2013-04-21,20:57:58.8,30.28,102.90,24,ML,2.3,eq,四川芦山
2013-04-21,20:51:18.0,30.31,102.93,13,ML,2.5,eq,四川芦山
2013-04-21,20:47:58.2,30.28,102.92,24,ML,2.4,eq,四川芦山
2013-04-21,20:24:47.2,30.33,102.96,26,ML,2.7,eq,四川芦山
2013-04-21,20:08:31.5,30.20,102.91,14,Ms,2.9,eq,四川芦山
2013-04-21,19:56:12.3,31.86,100.04,5,ML,2.4,eq,四川甘孜
2013-04-21,19:44:03.5,30.34,102.95,25,ML,2.5,eq,四川芦山
2013-04-21,19:03:50.9,26.88,100.01,14,ML,1.2,eq,云南玉龙
2013-04-21,19:00:37.7,30.29,102.96,22,ML,2.9,eq,四川芦山
2013-04-21,18:59:52.2,29.90,102.80,5,ML,1.9,eq,四川天全
2013-04-21,18:58:51.6,28.34,104.96,5,ML,1.0,eq,四川长宁
2013-04-21,18:55:09.4,30.22,102.94,19,ML,3.6,eq,四川芦山
2013-04-21,18:53:59.5,30.36,103.01,9,ML,1.6,eq,四川芦山
2013-04-21,18:48:25.8,30.30,103.00,20,Ms,4.2,eq,四川邛崃
2013-04-21,18:24:14.0,30.28,102.85,19,ML,3.4,eq,四川宝兴
2013-04-21,18:24:03.0,30.23,102.82,5,ML,1.8,eq,四川宝兴
2013-04-21,18:22:37.3,30.26,102.95,15,ML,1.5,eq,四川芦山
2013-04-21,17:43:38.0,30.24,102.96,21,ML,3.5,eq,四川芦山
2013-04-21,17:41:16.1,30.28,102.96,20,ML,3.5,eq,四川芦山
2013-04-21,17:30:27.3,30.30,103.00,20,Ms,4.2,eq,四川邛崃
2013-04-21,17:18:09.9,30.33,103.03,19,ML,3.7,eq,四川芦山
2013-04-21,17:11:11.7,30.36,103.08,10,Ms,2.9,eq,四川邛崃
2013-04-21,17:05:25.0,30.30,103.00,20,Ms,5.4,eq,四川邛崃
2013-04-21,17:01:54.6,30.26,102.94,20,ML,3.8,eq,四川芦山
2013-04-21,16:45:38.3,30.35,102.88,22,ML,3.8,eq,四川宝兴
2013-04-21,16:19:22.2,30.35,102.93,21,ML,2.6,eq,四川宝兴
2013-04-21,15:50:59.8,30.34,102.95,20,ML,3.1,eq,四川芦山
2013-04-21,15:07:46.7,30.18,102.83,21,ML,3.3,eq,四川天全
2013-04-21,14:58:20.2,30.30,103.02,7,ML,1.0,eq,四川芦山
2013-04-21,14:30:16.2,30.27,102.94,22,ML,2.7,eq,四川芦山
2013-04-21,13:52:32.3,31.55,103.98,12,ML,1.9,eq,四川绵竹
2013-04-21,13:10:06.1,30.38,102.95,14,ML,3.4,eq,四川芦山
2013-04-21,13:08:03.6,30.30,102.90,20,ML,3.4,eq,四川芦山
2013-04-21,12:58:48.8,30.33,102.96,23,ML,3.6,eq,四川芦山
2013-04-21,12:39:18.2,30.22,102.89,23,ML,4.2,eq,四川芦山
2013-04-21,11:59:40.9,30.20,103.00,20,Ms,4.9,eq,四川芦山
2013-04-21,11:00:08.1,30.35,102.93,24,ML,3.4,eq,四川宝兴
2013-04-21,09:54:50.8,32.57,105.12,5,ML,1.5,eq,四川青川
2013-04-21,09:33:45.6,30.37,102.96,18,ML,3.2,eq,四川芦山
2013-04-21,09:29:32.6,30.26,102.91,22,ML,4.0,eq,四川芦山
2013-04-21,09:27:37.7,30.34,102.96,23,ML,2.2,eq,四川芦山
2013-04-21,09:23:51.6,27.73,100.65,5,ML,2.0,eq,云南宁蒗
2013-04-21,09:03:47.6,31.89,104.17,5,ML,1.5,eq,四川北川
2013-04-21,08:13:06.5,30.27,102.84,22,ML,3.9,eq,四川宝兴
2013-04-21,08:11:40.1,30.22,102.84,15,ML,1.8,eq,四川宝兴
2013-04-21,08:05:23.7,30.22,102.88,22,ML,2.8,eq,四川芦山
2013-04-21,07:50:59.2,30.17,102.84,20,ML,3.7,eq,四川天全
